subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
数据结构,单选题,KMP算法依靠哪个数组跳过无效匹配？,堆数组,next数组,平衡因子数组,邻接数组,B,next前缀函数数组，避免主串指针回溯,简单,KMP next数组作用,2,1,"2026-07-15 15:00:00"
数据结构,单选题,完全二叉树编号i左孩子编号？,2*i,2*i+1,i/2,2*i-1,A,数组存储完全二叉树，i左孩子2i；右孩子2i+1,简单,完全二叉树编号规则,2,1,"2026-07-15 15:00:00"
数据结构,单选题,二叉树叶子数目n0，度2结点n2，关系式？,n0=n2,n0=n2+1,n0=2*n2,n0=n2-1,B,二叉树恒等式 n0 = n2 +1,中等,二叉树结点数量公式,3,1,"2026-07-15 15:00:00"
数据结构,单选题,线索二叉树目的？,减少内存占用,利用空指针保存遍历前驱后继,提高插入速度,实现随机访问,B,把空闲左右指针存放遍历序列前驱、后继线索,简单,线索二叉树作用,2,1,"2026-07-15 15:00:00"
数据结构,单选题,图关键路径算法适用于？,无向连通图,AOV网,AOE网,完全图,C,AOE网求解工程最长路径（关键路径）,中等,AOV/AOE区分,3,1,"2026-07-15 15:00:00"
数据结构,单选题,关键路径决定？,工程最短完成时间,工程最长完成时间,最少资源消耗,最小费用,A,关键路径长度代表整个工程最少耗时,困难,关键路径概念,4,1,"2026-07-15 15:00:00"
数据结构,单选题,开放寻址法哈希表删除元素一般？,直接置空,标记删除墓碑,移动后续元素,重建哈希表,B,不能直接清空，防止查找断裂，设置删除标记,中等,开放寻址删除策略,3,1,"2026-07-15 15:00:00"
数据结构,单选题,链式哈希表删除节点操作？,仅修改指针,需要移动其他数据,重建哈希函数,修改装填因子,A,链地址法直接链表删除节点，不影响其他桶,简单,链地址删除,2,1,"2026-07-15 15:00:00"
数据结构,单选题,以下适合实现优先队列的是？,普通队列,栈,堆,有序单链表,C,堆可以快速获取最大/最小值，作为优先队列底层,简单,优先队列实现,2,1,"2026-07-15 15:00:00"
数据结构,单选题,递归转非递归通常借助？,哈希表,栈,队列,平衡树,B,模拟系统调用栈，保存每层局部变量,简单,递归消除,2,1,"2026-07-15 15:00:00"
数据结构,单选题,双向循环链表删除尾节点，已知尾指针rear，复杂度？,O(n),O(1),O(logn),O(nlogn),B,rear->prev直接找到倒数第二个结点，常量时间操作,中等,双向循环链表操作,3,1,"2026-07-15 15:00:00"
数据结构,单选题,稳定排序算法有？,快速排序,堆排序,归并排序,希尔排序,C,归并排序属于稳定排序,中等,稳定排序汇总,3,1,"2026-07-15 15:00:00"
数据结构,单选题,外部排序处理？,内存中小数据,超出内存大规模文件数据,链表数据,树结构数据,B,外部排序针对无法一次性载入内存的海量数据,简单,外部排序场景,2,1,"2026-07-15 15:00:00"
数据结构,单选题,外部排序核心基础是？,快速排序,内部归并+多路归并,基数排序,冒泡排序,B,先内存分块内部排序，多路归并有序块,中等,外部排序原理,3,1,"2026-07-15 15:00:00"
数据结构,单选题,下列属于静态查找表结构？,二叉搜索树,有序顺序表,平衡二叉树,红黑树,B,静态：数据不频繁增删；动态查找支持插入删除树结构,中等,静态动态查找区分,3,1,"2026-07-15 15:00:00"
数据结构,单选题,链表不能实现哪种操作高效执行？,头部插入,尾部插入(无尾指针),遍历,节点删除,B,无尾指针单链表尾部插入需要遍历全部O(n),简单,链表操作效率,2,1,"2026-07-15 15:00:00"
数据结构,单选题,循环队列长度计算公式？,(rear-front+MaxSize)%MaxSize,rear-front,rear-front+MaxSize,front-rear,A,取模运算防止负数，计算当前有效元素数量,中等,循环队列长度公式,3,1,"2026-07-15 15:00:00"
数据结构,单选题,有向完全图n个顶点边数量？,n*(n-1),n*(n-1)/2,n²,n,A,有向完全：任意两点双向边，总数n(n-1),中等,完全图边数,3,1,"2026-07-15 15:00:00"
数据结构,单选题,无向完全图n个顶点边数量？,n(n-1),n(n-1)/2,2n,n²,B,无向边不区分方向，边总数 n(n-1)/2,简单,无向完全图,2,1,"2026-07-15 15:00:00"
数据结构,单选题,连通分量描述正确？,有向图最大强连通子图,无向图极大连通子图,图最小环,最短路径集合,B,连通分量特指无向图极大连通子图；有向图称强连通分量,中等,连通分量定义,3,1,"2026-07-15 15:00:00"
数据结构,单选题,拓扑排序输出序列不唯一因为？,图存在多条并行路径,存在环,顶点过多,边带权重,A,多条互不依赖路径时，顶点先后顺序可交换,简单,拓扑排序多样性,2,1,"2026-07-15 15:00:00"
数据结构,单选题,排序当中比较次数与初始序列无关的是？,冒泡排序,简单选择排序,直接插入,快速排序,B,简单选择排序无论有序与否，固定比较n(n-1)/2次,困难,排序初始序列影响,4,1,"2026-07-15 15:00:00"
数据结构,单选题,适合磁盘索引B+树相比于B树优势？,查询所有记录遍历叶子链表,高度更低,每个节点关键字更多,支持负数值,A,B+树叶子链表便于范围查询,中等,B树与B+树对比,3,1,"2026-07-15 15:00:00"
数据结构,单选题,AVL树插入失衡，LL旋转指？,左孩子左子树插入,左孩子右子树插入,右孩子右子树插入,右孩子左子树插入,A,LL、LR、RR、RL四种调整旋转类型,中等,AVL旋转类型,3,1,"2026-07-15 15:00:00"
数据结构,单选题,数据结构研究三大内容？,逻辑结构、存储结构、运算,变量、函数、指针,数组链表树,排序查找索引,A,标准定义：逻辑结构、物理存储、基本操作运算,简单,数据结构定义,2,1,"2026-07-15 15:00:00"
数据结构,单选题,与计算机硬件无关的是数据？,存储结构,物理结构,逻辑结构,链式结构,C,逻辑结构描述元素抽象关系，脱离硬件；存储结构依赖硬件,简单,逻辑结构概念,2,1,"2026-07-15 15:00:00"
数据结构,单选题,顺序存储优点？,动态扩容,随机存取,插入高效,不需要连续内存,B,连续内存数组支持下标随机访问；缺点扩容、移动元素,简单,顺序存储优缺点,2,1,"2026-07-15 15:00:00"
数据结构,单选题,链式存储优点？,随机访问,不需要连续内存,占用空间更小,寻址速度快,B,节点分散存放，不需要一整块连续内存,简单,链式存储特点,2,1,"2026-07-15 15:00:00"
