type,content,optionA,optionB,optionC,optionD,answer,difficulty,knowledgePoint,score,analysis
single,下列哪个是HTTP的请求头字段？,Host,Content-Type,User-Agent,以上都是,D,easy,计算机网络,5,Host指定请求的服务器域名，Content-Type指定请求体的数据格式，User-Agent标识客户端信息，都是常用的HTTP请求头。
single,HTTP/1.1默认使用的连接方式是？,长连接,短连接,半连接,无连接,A,medium,计算机网络,5,HTTP/1.1默认开启长连接（Keep-Alive），一次TCP连接可多次发送HTTP请求，减少连接建立的开销。
single,HTTP状态码302表示？,临时重定向,永久重定向,请求成功,资源未找到,A,medium,计算机网络,5,HTTP 302表示临时重定向，客户端会跳转到新的URL地址，旧地址后续仍可使用。
single,MySQL中数据库的核心作用是？,存储和管理数据,编译代码,运行程序,处理网络请求,A,easy,数据库基础,5,数据库是按照数据结构来组织、存储和管理数据的仓库，MySQL是最流行的关系型数据库之一。
single,MySQL中主键的核心作用是？,唯一标识一行数据,删除表,创建数据库,排序字段,A,easy,数据库基础,5,主键（PRIMARY KEY）用于唯一标识表中的每一条记录，主键值不可重复、不可为空。
single,MySQL中下列哪个是SQL的查询关键字？,SELECT,INSERT,UPDATE,DELETE,A,easy,数据库基础,5,SELECT是SQL中用于查询数据的核心关键字，可从表中读取符合条件的数据。
single,MySQL中INSERT语句的作用是？,插入新数据,更新数据,删除数据,创建表,A,easy,数据库基础,5,INSERT语句用于向数据库表中插入新的记录行，是数据写入的核心语句。
single,MySQL中UPDATE语句的作用是？,更新已有数据,插入新数据,删除数据,查询数据,A,easy,数据库基础,5,UPDATE语句用于修改表中已经存在的记录，可更新指定字段的内容。
single,MySQL中DELETE语句的作用是？,删除数据,更新数据,插入数据,创建数据库,A,easy,数据库基础,5,DELETE语句用于从表中删除符合条件的记录行，是数据删除的核心语句。
single,MySQL中WHERE关键字的作用是？,筛选查询条件,排序,分组,连接表,A,easy,数据库基础,5,WHERE子句用于在SQL语句中筛选符合条件的记录，可用于SELECT、UPDATE、DELETE等语句中。
single,MySQL中ORDER BY关键字的作用是？,对结果排序,筛选条件,分组统计,连接表,A,easy,数据库基础,5,ORDER BY用于对查询返回的结果集按指定字段进行升序或降序排序。
single,MySQL中GROUP BY关键字的作用是？,对结果分组,排序,筛选条件,连接表,A,medium,数据库基础,5,GROUP BY用于将查询结果按指定字段进行分组，通常配合聚合函数（COUNT、SUM等）使用。
single,MySQL中JOIN关键字的作用是？,连接多个表,排序,分组,筛选条件,A,medium,数据库基础,5,JOIN用于在一个查询中连接多个表，通过关联字段获取多表的组合数据，支持INNER JOIN、LEFT JOIN等类型。
single,MySQL中下列哪个是聚合函数？,COUNT(),SUM(),MAX(),以上都是,D,easy,数据库基础,5,COUNT统计记录数、SUM求和、MAX取最大值，都是MySQL中常用的聚合函数，需配合GROUP BY使用。
single,MySQL中VARCHAR和CHAR的核心区别是？,VARCHAR长度可变，CHAR长度固定,VARCHAR长度固定，CHAR长度可变,无区别,VARCHAR只能存字符串,A,medium,数据库基础,5,CHAR是固定长度字符串类型，存储效率高但可能浪费空间；VARCHAR是可变长度，节省空间但有少量额外开销。
single,MySQL中事务的核心特性不包括？,原子性,一致性,隔离性,高效性,D,medium,数据库基础,5,数据库事务的四大特性是ACID：原子性、一致性、隔离性、持久性，高效性不属于事务特性。
single,MySQL中索引的核心作用是？,提升查询速度,提升写入速度,加密数据,备份数据,A,easy,数据库基础,5,索引是数据库中用于加速查询的结构，可大幅减少查询时需要扫描的数据行数，提升查询效率。
single,Python中下列哪个是注释符号？,#,//,/* */,以上都是,A,easy,Python基础,5,Python中使用#进行单行注释，多行注释可使用三个单引号/双引号，//是Java/C++的单行注释。
single,Python中下列哪个是列表类型？,list,tuple,dict,set,A,easy,Python基础,5,list是Python的列表类型，用[]定义，是可变的有序容器，可存储不同类型的数据。
single,Python中下列哪个是循环语句？,for,if,else,switch,A,easy,Python基础,5,Python中使用for和while实现循环，if/else是条件判断语句，Python没有switch关键字。
single,Python中下列哪个是函数定义关键字？,def,function,func,define,A,easy,Python基础,5,Python中使用def关键字定义函数，可封装可重复执行的代码块。
single,Python中下列哪个是字典类型？,dict,list,tuple,set,A,easy,Python基础,5,dict是Python的字典类型，用{}定义，是键值对形式的可变容器，查询效率极高。
single,HTML中下列哪个是标题标签？,<h1>,<p>,<div>,<span>,A,easy,前端基础,5,<h1>到<h6>是HTML的标题标签，<p>是段落标签，<div>是块级容器，<span>是行内容器。
single,CSS中下列哪个属性用于设置字体颜色？,color,background-color,font-size,text-align,A,easy,前端基础,5,color属性用于设置文本的字体颜色，background-color设置背景色，font-size设置字号，text-align设置对齐方式。
single,JavaScript中下列哪个是变量声明关键字？,let,var,const,以上都是,D,easy,前端基础,5,var是ES5的变量声明关键字，let和const是ES6新增的，let用于声明块级变量，const用于声明常量。
single,Linux中下列哪个是查看当前目录的命令？,pwd,ls,cd,cat,A,easy,Linux基础,5,pwd（print working directory）用于查看当前工作目录的绝对路径，ls查看目录内容，cd切换目录。
single,Linux中下列哪个是创建目录的命令？,mkdir,rm,touch,cp,A,easy,Linux基础,5,mkdir用于创建新的目录，rm用于删除文件/目录，touch用于创建空文件，cp用于复制文件。
single,下列哪个算法是排序算法？,冒泡排序,二分查找,广度优先搜索,深度优先搜索,A,easy,算法基础,5,冒泡排序是最基础的排序算法，通过重复遍历待排序序列，比较相邻元素并交换位置实现排序。
