subject,type,content,optionA,optionB,optionC,optionD,answer,analysis,difficulty,knowledgePoint,score,createdBy,createdTime
高等数学,单选题,"$y=\dfrac{1}{x}$，求$y'=$（）","$\dfrac{1}{x^2}$","$-\dfrac{1}{x^2}$","$\ln x$","$x$",B,"幂函数求导：$y=x^{-1},y'=-1\cdot x^{-2}=-\dfrac{1}{x^2}$",简单,幂函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"当$x\to0$时，下列是无穷小量的是（）","$\dfrac{1}{x}$","$\sin x$","$\ln x$","$e^{\frac{1}{x}}$",B,"$\lim\limits_{x\to0}\sin x=0$，符合无穷小定义",中等,无穷小量判定,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \dfrac{1}{1+x^2}dx=$（）","$\arctan x+C$","$\arcsin x+C$","$\tan x+C$","$\cot x+C$",A,"$(\arctan x)'=\dfrac{1}{1+x^2}$",简单,基本积分公式,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}\dfrac{\sin2x}{x}=$（）","1","2","0","不存在",B,"等价无穷小$\sin2x\sim2x$，$\dfrac{2x}{x}=2$",中等,等价无穷小极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\arcsin x$ 的导数是（）","$\dfrac{1}{\sqrt{1-x^2}}$","$-\dfrac{1}{\sqrt{1-x^2}}$","$\dfrac{1}{1+x^2}$","$\sqrt{1-x^2}$",A,"反三角函数求导基本公式",中等,反函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=x^2$的凹区间为（）","$(-\infty,0)$","$(0,+\infty)$","$R$","不存在",B,"$y''=2>0$，全体实数区间为凹区间",中等,函数凹凸性,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int (x^3+2x)dx=$（）","$\dfrac{1}{4}x^4+x^2+C$","$x^4+x^2+C$","$3x^2+2+C$","$\dfrac{1}{4}x^4+2x^2+C$",A,"分项积分，套用幂函数积分公式",简单,不定积分运算,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to\infty}\dfrac{x^2+1}{2x^2+x}=$（）","0","$\dfrac12$","1","$\infty$",B,"分子分母最高次项系数之比，极限等于$\dfrac12$",中等,有理函数极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=e^{x^2}$导数为（）","$e^{x^2}$","$2xe^{x^2}$","$x^2e^{x^2}$","$2e^{x^2}$",B,"复合求导，外层$e^u$，内层$u=x^2$",中等,复合函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$f(x)$在区间$[a,b]$上连续，则下列正确的是（）","一定可导","一定存在最大值最小值","一定单调","一定存在驻点",B,"闭区间连续函数最值定理",中等,闭区间连续函数性质,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int_{0}^{1} 2x dx=$（）","0","1","2","3",B,"原函数$x^2$，代入上下限$1^2-0^2=1$",简单,定积分计算,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}\dfrac{1-\cos x}{x^2}=$（）","0","$\dfrac12$","1","2",B,"等价无穷小：$1-\cos x\sim \dfrac12x^2$",中等,等价无穷小极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\ln(\sin x)$ 导数为（）","$\cot x$","$\tan x$","$\dfrac{1}{\sin x}$","$\cos x$",A,"$y'=\dfrac{\cos x}{\sin x}=\cot x$",中等,复合函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"罗尔定理要求函数在区间上连续、可导以及（）","端点导数相等","端点函数值相等","函数恒大于0","存在极值点",B,"罗尔定理第三个条件$f(a)=f(b)$",中等,微分中值定理,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \tan x dx=$（）","$-\ln|\cos x|+C$","$\ln|\cos x|+C$","$\ln|\sin x|+C$","$-\ln|\sin x|+C$",A,"$\int\tan xdx=\int\dfrac{\sin x}{\cos x}dx=-\ln|\cos x|+C$",中等,不定积分凑微分,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{n\to\infty}\left(1+\dfrac{2}{n}\right)^n=$（）","$e$","$e^2$","1","0",B,"变形第二个重要极限，极限等于$e^2$",困难,重要极限变形,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=x\cdot e^x$ 的导数为（）","$xe^x$","$e^x(x+1)$","$e^x$","$x+e^x$",B,"乘积法则：$(xe^x)'=e^x+xe^x=e^x(x+1)$",中等,乘积求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=\ln x$ 在$x=1$切线方程为（）","$y=x-1$","$y=x+1$","$y=x$","$y=1$",A,"导数$y'=\dfrac1x$，斜率1，点(1,0)，直线y=x-1",中等,切线方程求解,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"当$x\to0$，无穷小阶数最高的是（）","$x$","$x^2$","$\sin x$","$\tan x$",B,"$x^2$是二阶无穷小，其余为一阶无穷小",中等,无穷小阶数比较,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int_{0}^{\pi}\sin x dx=$（）","0","1","2","$\pi$",C,"原函数$-\cos x$，$-\cos\pi+\cos0=1+1=2$",中等,定积分计算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$y=x^3-3x$ 的极大值点为（）","$x=-1$","$x=1$","$x=0$","$x=3$",A,"$y'=3x^2-3$，驻点$x=\pm1$；二阶导数判定x=-1极大值",困难,函数极值求解,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to3}\dfrac{x^2-9}{x-3}=$（）","3","6","9","0",B,"因式分解$x^2-9=(x-3)(x+3)$，极限等于6",中等,极限化简,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\sqrt{x}$ 的导数$y'=$（）","$2\sqrt{x}$","$\dfrac{1}{2\sqrt{x}}$","$\sqrt{x}$","$\dfrac{1}{\sqrt{x}}$",B,"$y=x^\frac12$，求导得到$\dfrac12x^{-\frac12}$",简单,幂函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"下列极限不存在的是（）","$\lim\limits_{x\to0}x^2$","$\lim\limits_{x\to0}\sin\dfrac1x$","$\lim\limits_{x\to2}x$","$\lim\limits_{x\to\infty}\dfrac{1}{x^2}$",B,"$x\to0$时$\sin\dfrac1x$在[-1,1]震荡，无极限",中等,极限存在判定,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \dfrac{1}{\sqrt{1-x^2}}dx=$（）","$\arcsin x+C$","$\arctan x+C$","$\sin x+C$","$\cos x+C$",A,"基础积分公式，熟记反三角函数导数",简单,基本积分公式,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"拉格朗日中值定理至少存在一点满足（）","$f(\xi)=0$","$f'(\xi)=0$","$f'(\xi)=\dfrac{f(b)-f(a)}{b-a}$","$f''(\xi)=0$",C,"拉格朗日中值定理标准公式",中等,微分中值定理,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\sin^2x$ 的导数为（）","$2\sin x$","$\sin2x$","$\cos2x$","$2\cos x$",B,"复合求导$2\sin x\cos x=\sin2x$",中等,复合函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to\infty}\dfrac{\sin x}{x}=$（）","1","0","$\infty$","不存在",B,"有界函数除以无穷大，极限为0",中等,无穷大与有界函数运算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int (e^x+\dfrac1x)dx=$（）","$e^x+\ln x$","$e^x+\ln|x|+C$","$e^x-\ln|x|+C$","$xe^x+\ln x+C$",B,"分项积分，不定积分必须加常数C",简单,不定积分运算,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$f(x)=\begin{cases}x,x>0\\-x,x<0\end{cases}$ 在x=0处（）","连续可导","连续不可导","不连续","极限不存在",B,"左右极限都是0，连续；左右导数不相等，不可导",中等,分段函数连续性,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=e^{-x}$ 单调区间为（）","单调递增全体实数","单调递减全体实数","$(0,+\infty)$递增","$(-\infty,0)$递减",B,"$y'=-e^{-x}<0$恒成立，定义域单调递减",中等,函数单调性判定,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}\dfrac{\arcsin x}{x}=$（）","0","1","2","不存在",B,"等价无穷小：$x\to0,\arcsin x\sim x$",中等,等价无穷小极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\dfrac{\ln x}{x}$导数为（）","$\dfrac{1-\ln x}{x^2}$","$\dfrac{\ln x-1}{x^2}$","$\dfrac{1}{x}$","$\dfrac{1-\ln x}{x}$",A,"商求导法则$(\dfrac{u}{v})'=\dfrac{u'v-uv'}{v^2}$",困难,商式求导,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int_{1}^{2}\dfrac{1}{x}dx=$（）","$\ln2$","1","2","$\ln\dfrac12$",A,"原函数$\ln|x|$，$\ln2-\ln1=\ln2$",中等,定积分计算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"若$\lim f(x)=A$，其中A为实数，则$f(x)$在$x_0$附近（）","必有定义","有界","连续","可导",B,"极限存在函数局部有界定理",中等,极限性质,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\cos^2x$导数等于（）","$-2\cos x\sin x$","$2\cos x\sin x$","$\cos2x$","$\sin2x$",A,"$y'=2\cos x(-\sin x)=-\sin2x$",中等,复合函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to\infty}\left(\dfrac{x+1}{x}\right)^{2x}=$（）","$e$","$e^2$","$e^{\frac12}$","1",B,"变形第二个重要极限，结果等于$e^2$",困难,重要极限变形,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$y=x-\ln(1+x)$单调递增区间（）","$(-1,0)$","$(0,+\infty)$","$(-\infty,-1)$","全体实数",B,"$y'=1-\dfrac{1}{1+x}=\dfrac{x}{1+x}$，x>0导数大于0",困难,单调区间求解,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \cot x dx=$（）","$\ln|\sin x|+C$","$-\ln|\sin x|+C$","$\ln|\cos x|+C$","$-\ln|\cos x|+C$",A,"$\int\cot xdx=\int\dfrac{\cos x}{\sin x}dx=\ln|\sin x|+C$",中等,不定积分凑微分,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"当$x\to0$，与$x$等价无穷小的是（）","$1-\cos x$","$\ln(1+x)$","$x^2$","$e^x-1-x$",B,"等价无穷小：$x\to0,\ln(1+x)\sim x$",中等,等价无穷小识别,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\tan2x$ 导数为（）","$2\sec^22x$","$\sec^22x$","$2\tan2x$","$\sec2x$",A,"$(\tan u)'=\sec^2u\cdot u'$，u=2x",中等,复合函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to4}\dfrac{\sqrt{x}-2}{x-4}=$（）","0","$\dfrac14$","$\dfrac12$","1",B,"分母因式分解，约去$\sqrt{x}-2$，极限$\dfrac14$",困难,根式极限化简,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=x^3$拐点坐标是（）","$(0,0)$","$(1,1)$","$(-1,-1)$","不存在",A,"二阶导数$y''=6x$，x=0左右凹凸性改变，拐点(0,0)",中等,拐点求解,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int_{0}^{\frac{\pi}{2}}\cos x dx=$（）","0","1","2","$\pi$",B,"原函数$\sin x$，$\sin\dfrac{\pi}{2}-\sin0=1$",简单,定积分计算,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$f(x)$在$x_0$处极限存在是函数在$x_0$连续的（）","充分条件","必要条件","充要条件","无关条件",B,"连续一定极限存在；极限存在不一定连续",中等,极限与连续关系,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=e^{\sin x}$导数为（）","$e^{\sin x}\cos x$","$e^{\sin x}$","$e^{\cos x}$","$e^{\sin x}\sin x$",A,"复合求导，链式法则依次求导",中等,复合函数求导,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}\dfrac{e^x-1}{x}=$（）","0","1","2","不存在",B,"等价无穷小：$e^x-1\sim x$",中等,等价无穷小极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int x e^{x^2}dx=$（）","$\dfrac12e^{x^2}+C$","$e^{x^2}+C$","$xe^{x^2}+C$","$2e^{x^2}+C$",A,"凑微分法，令$u=x^2,du=2xdx$",困难,不定积分凑微分,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"下列函数在全体实数域连续的是（）","$\dfrac1x$","$\tan x$","$e^x$","$\dfrac{1}{x^2-1}$",C,"指数函数定义域R上处处连续",中等,函数连续性判定,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\arctan x$导数为（）","$\dfrac{1}{1+x^2}$","$\dfrac{1}{\sqrt{1-x^2}}$","$-\dfrac{1}{1+x^2}$","$\tan x$",A,"反三角函数标准求导公式",简单,反函数求导,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to\infty}\dfrac{3x^3-x}{2x^3+x^2}=$（）","$\dfrac32$","$\dfrac23$","0","$\infty$",A,"有理函数无穷极限，最高次系数之比",中等,有理函数极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=2x^2-x+1$ 在$x=1$切线斜率（）","2","3","4","1",B,"$y'=4x-1$，代入x=1，斜率k=3",简单,导数几何意义,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \sin2x dx=$（）","$\dfrac12\cos2x+C$","$-\dfrac12\cos2x+C$","$\cos2x+C$","$-\cos2x+C$",B,"凑微分积分，$\int\sin2xdx=-\dfrac12\cos2x+C$",中等,不定积分计算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"若$f'(a)=2$，则$\lim\limits_{h\to0}\dfrac{f(a+h)-f(a)}{h}=$（）","0","1","2","$\dfrac12$",C,"导数定义式，极限等于$f'(a)$",简单,导数定义,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$y=\dfrac{1}{1-x^2}$间断点个数（）","0","1","2","3",C,"分母为零$x=1,x=-1$，两处间断",中等,间断点求解,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}(1-3x)^{\frac{1}{x}}=$（）","$e^3$","$e^{-3}$","$e$","1",B,"第二个重要极限变形，极限等于$e^{-3}$",困难,重要极限变形,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=x^2\sin x$导数为（）","$2x\sin x+x^2\cos x$","$2x\cos x$","$x^2\cos x$","$2x\sin x-x^2\cos x$",A,"乘积求导法则，$(uv)'=u'v+uv'$",中等,乘积求导法则,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int_{-1}^{1} x^3 dx=$（）","0","1","2","-1",A,"奇函数在对称区间定积分等于0",中等,奇偶函数定积分性质,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"当$x\to\infty$，不是无穷大量的是（）","$x^2$","$\ln x$","$\sin x$","$x$",C,"$\sin x$在[-1,1]震荡，不是无穷大",中等,无穷大量判定,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$y=\ln(x+\sqrt{1+x^2})$导数等于（）","$\dfrac{1}{\sqrt{1+x^2}}$","$\dfrac{1}{1+x^2}$","$\sqrt{1+x^2}$","$\dfrac{1}{x+\sqrt{1+x^2}}$",A,"反双曲正弦求导经典公式",困难,复合函数求导,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to1}\dfrac{\ln x}{x-1}=$（）","0","1","2","不存在",B,"等价无穷小$\ln x=\ln(1+x-1)\sim x-1$",中等,等价无穷小极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$y=x^4$的凹凸性描述正确的是（）","处处凹","处处凸","存在拐点","先凹后凸",A,"二阶导数$y''=12x^2\ge0$，恒凹",中等,凹凸性判定,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \dfrac{\ln x}{x}dx=$（）","$\dfrac12(\ln x)^2+C$","$(\ln x)^2+C$","$\ln x+C$","$\dfrac{1}{x}+C$",A,"凑微分：$d(\ln x)=\dfrac1x dx$",困难,不定积分凑微分,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"导数$f'(x_0)>0$说明函数在$x_0$附近（）","单调递增","单调递减","取得极大值","取得极小值",A,"导数大于0，局部单调递增",简单,导数与单调性,2,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to0}\dfrac{\tan2x}{\sin5x}=$（）","$\dfrac25$","$\dfrac52$","0","1",A,"等价无穷小替换，$\tan2x\sim2x,\sin5x\sim5x$",中等,等价无穷小极限,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"曲线$y=x-e^x$最大值点为（）","$x=0$","$x=1$","$x=-1$","不存在",A,"$y'=1-e^x$，驻点x=0；x=0处取得最大值",困难,函数最值求解,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int_{0}^{\ln2} e^x dx=$（）","0","1","2","$\ln2$",B,"原函数$e^x$，$e^{\ln2}-e^0=2-1=1$",中等,定积分计算,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"下列等式成立的是（）","$d(\int f(x)dx)=f(x)$","$d(\int f(x)dx)=f(x)dx$","$\int f'(x)dx=f(x)$","$(\int f(x)dx)'=f(x)+C$",B,"不定积分微分性质：$d\int f(x)dx=f(x)dx$",困难,微积分基本性质,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{x\to\infty}x\sin\dfrac{1}{x}=$（）","0","1","$\infty$","不存在",B,"变形：$\dfrac{\sin\frac1x}{\frac1x}$，令$t=\dfrac1x$，极限等于1",中等,极限变量替换,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"函数$f(x)=x^3-3x^2-9x+5$极小值点为（）","$x=-1$","$x=3$","$x=0$","$x=1$",B,"求导找驻点，二阶导数判定极小值点x=3",困难,函数极值求解,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\displaystyle\int \cos^2x dx$化简基础公式（）","$\dfrac12\int(1+\cos2x)dx$","$\dfrac12\int(1-\cos2x)dx$","$\int\cos2x dx$","$\int\cos^22x dx$",A,"三角恒等式降幂：$\cos^2x=\dfrac{1+\cos2x}{2}$",中等,三角积分降幂,3,1,"2026-07-15 10:00:00"
高等数学,单选题,"若函数$f(x)$在$[a,b]$可导，则下列说法错误的是（）","函数在区间连续","函数在区间有界","一定存在最大值最小值","导数$f'(x)$在区间一定连续",D,"导函数不一定连续",困难,可导函数性质,4,1,"2026-07-15 10:00:00"
高等数学,单选题,"$\lim\limits_{n\to\infty}\dfrac{1+2+\dots+n}{n^2}=$（）","0","$\dfrac12$","1","2",B,"等差数列求和$\dfrac{n(n+1)}{2n^2}\to\dfrac12$",困难,数列极限计算,4,1,"2026-07-15 10:00:00"
